neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
Cobble Hill,490.0,7.0,1.0,0.03,1.0,0.0,0,1,0,0,0,1,0,0
Murray Hill,250.0,1.0,1.0,0.02,1.0,0.0,0,0,1,0,0,1,0,0
Harlem,450.0,7.0,6.0,0.17,2.0,229.0,0,0,1,0,0,1,0,0
Prospect-Lefferts Gardens,98.0,4.0,15.0,0.49,2.0,341.0,0,1,0,0,0,1,0,0
Brighton Beach,199.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0
Astoria,50.0,5.0,1.0,0.03,1.0,0.0,0,0,0,1,0,0,1,0
Prospect-Lefferts Gardens,109.0,4.0,25.0,0.65,2.0,324.0,0,1,0,0,0,1,0,0
Bedford-Stuyvesant,145.0,4.0,18.0,0.49,1.0,0.0,0,1,0,0,0,1,0,0
Upper West Side,96.0,1.0,0.0,0.0,2.0,0.0,0,0,1,0,0,0,1,0
Bedford-Stuyvesant,165.0,4.0,5.0,0.13,1.0,0.0,0,1,0,0,0,1,0,0
Crown Heights,65.0,1.0,1.0,0.03,1.0,0.0,0,1,0,0,0,0,1,0
Midtown,130.0,2.0,118.0,2.93,1.0,226.0,0,0,1,0,0,1,0,0
Upper East Side,120.0,1.0,11.0,0.3,1.0,0.0,0,0,1,0,0,1,0,0
Crown Heights,165.0,30.0,3.0,0.09,1.0,365.0,0,1,0,0,0,1,0,0
South Slope,200.0,2.0,9.0,0.24,1.0,0.0,0,1,0,0,0,1,0,0
Upper East Side,122.0,9.0,12.0,0.32,3.0,160.0,0,0,1,0,0,0,1,0
Harlem,400.0,3.0,2.0,0.06,2.0,88.0,0,0,1,0,0,1,0,0
Fort Greene,54.0,30.0,0.0,0.0,43.0,361.0,0,1,0,0,0,0,1,0
Fort Greene,54.0,30.0,0.0,0.0,43.0,361.0,0,1,0,0,0,0,1,0
Park Slope,54.0,30.0,0.0,0.0,43.0,361.0,0,1,0,0,0,0,1,0
Nolita,250.0,1.0,2.0,0.05,2.0,0.0,0,0,1,0,0,0,1,0
Harlem,120.0,14.0,9.0,0.23,1.0,0.0,0,0,1,0,0,1,0,0
Williamsburg,75.0,1.0,0.0,0.0,2.0,0.0,0,1,0,0,0,0,1,0
Long Island City,65.0,1.0,5.0,0.13,1.0,0.0,0,0,0,1,0,0,1,0
Bedford-Stuyvesant,60.0,2.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
Sunset Park,179.0,3.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0
Elmhurst,43.0,1.0,105.0,2.61,8.0,140.0,0,0,0,1,0,0,1,0
West Village,130.0,5.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Upper West Side,154.0,3.0,78.0,1.95,1.0,17.0,0,0,1,0,0,1,0,0
Bushwick,135.0,2.0,10.0,0.26,1.0,88.0,0,1,0,0,0,1,0,0
Woodside,86.0,2.0,4.0,0.15,1.0,365.0,0,0,0,1,0,0,1,0
Columbia St,85.0,2.0,61.0,1.57,1.0,0.0,0,1,0,0,0,0,1,0
East Elmhurst,80.0,3.0,68.0,1.79,1.0,334.0,0,0,0,1,0,1,0,0
Bedford-Stuyvesant,70.0,2.0,2.0,0.05,1.0,0.0,0,1,0,0,0,0,1,0
Prospect-Lefferts Gardens,65.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
Harlem,100.0,1.0,7.0,0.18,1.0,0.0,0,0,1,0,0,1,0,0
Gramercy,130.0,5.0,1.0,0.03,1.0,0.0,0,0,1,0,0,1,0,0
Crown Heights,139.0,2.0,67.0,1.7,1.0,75.0,0,1,0,0,0,1,0,0
Borough Park,35.0,1.0,9.0,0.24,1.0,0.0,0,1,0,0,0,0,1,0
South Slope,100.0,7.0,1.0,0.03,1.0,0.0,0,1,0,0,0,1,0,0
East Harlem,60.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0
Midtown,133.0,30.0,7.0,0.22,91.0,127.0,0,0,1,0,0,1,0,0
Flatiron District,275.0,2.0,136.0,3.4,1.0,170.0,0,0,1,0,0,1,0,0
Lower East Side,112.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0
Kips Bay,142.0,30.0,9.0,0.36,91.0,157.0,0,0,1,0,0,1,0,0
Crown Heights,135.0,2.0,22.0,1.68,1.0,92.0,0,1,0,0,0,1,0,0
Prospect-Lefferts Gardens,165.0,1.0,19.0,0.8,1.0,0.0,0,1,0,0,0,1,0,0
Upper West Side,200.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Upper West Side,425.0,5.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Financial District,110.0,1.0,2.0,0.05,1.0,0.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,40.0,5.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
East Harlem,70.0,2.0,169.0,4.27,1.0,38.0,0,0,1,0,0,0,1,0
Harlem,65.0,30.0,6.0,0.16,3.0,365.0,0,0,1,0,0,0,1,0
Sunnyside,95.0,30.0,3.0,0.09,2.0,357.0,0,0,0,1,0,1,0,0
Williamsburg,100.0,1.0,0.0,0.0,4.0,0.0,0,1,0,0,0,0,1,0
East Village,140.0,2.0,4.0,0.1,3.0,0.0,0,0,1,0,0,1,0,0
Kips Bay,150.0,2.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Kensington,115.0,2.0,5.0,0.13,1.0,0.0,0,1,0,0,0,1,0,0
Harlem,74.0,2.0,3.0,0.08,2.0,363.0,0,0,1,0,0,0,1,0
Williamsburg,175.0,4.0,6.0,0.16,1.0,157.0,0,1,0,0,0,1,0,0
East Village,275.0,5.0,1.0,0.03,1.0,0.0,0,0,1,0,0,1,0,0
Sunnyside,110.0,3.0,6.0,0.16,1.0,0.0,0,0,0,1,0,1,0,0
East Village,69.0,1.0,1.0,0.02,1.0,0.0,0,0,1,0,0,0,1,0
Downtown Brooklyn,50.0,1.0,3.0,0.07,2.0,0.0,0,1,0,0,0,0,1,0
Williamsburg,85.0,6.0,12.0,0.3,1.0,0.0,0,1,0,0,0,0,1,0
Financial District,110.0,2.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0
Chelsea,142.0,30.0,7.0,0.25,91.0,316.0,0,0,1,0,0,1,0,0
Harlem,75.0,20.0,18.0,0.67,2.0,232.0,0,0,1,0,0,0,1,0
East Village,133.0,3.0,3.0,0.08,1.0,0.0,0,0,1,0,0,1,0,0
Hell's Kitchen,79.0,1.0,1.0,0.03,1.0,0.0,0,0,1,0,0,0,1,0
Norwood,80.0,1.0,2.0,0.05,1.0,0.0,1,0,0,0,0,1,0,0
Hell's Kitchen,239.0,30.0,2.0,0.07,121.0,365.0,0,0,1,0,0,1,0,0
East Harlem,100.0,4.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Park Slope,159.0,3.0,3.0,0.08,1.0,0.0,0,1,0,0,0,1,0,0
East Village,140.0,1.0,1.0,0.02,1.0,0.0,0,0,1,0,0,1,0,0
West Village,250.0,2.0,23.0,0.58,1.0,0.0,0,0,1,0,0,1,0,0
East Flatbush,135.0,1.0,193.0,4.87,4.0,270.0,0,1,0,0,0,1,0,0
Prospect-Lefferts Gardens,65.0,10.0,94.0,2.4,2.0,0.0,0,1,0,0,0,0,1,0
Upper West Side,75.0,1.0,1.0,0.03,2.0,188.0,0,0,1,0,0,0,1,0
Upper West Side,195.0,1.0,3.0,0.08,1.0,0.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,99.0,3.0,35.0,0.9,1.0,39.0,0,1,0,0,0,1,0,0
Harlem,70.0,30.0,25.0,0.65,2.0,187.0,0,0,1,0,0,0,1,0
Hell's Kitchen,199.0,30.0,0.0,0.0,121.0,365.0,0,0,1,0,0,1,0,0
Inwood,65.0,3.0,36.0,0.9,1.0,249.0,0,0,1,0,0,0,1,0
Vinegar Hill,245.0,2.0,3.0,0.08,2.0,0.0,0,1,0,0,0,1,0,0
Upper East Side,150.0,4.0,17.0,0.43,1.0,26.0,0,0,1,0,0,1,0,0
Bushwick,55.0,1.0,1.0,0.03,1.0,0.0,0,1,0,0,0,0,1,0
Flatiron District,650.0,5.0,42.0,1.07,1.0,335.0,0,0,1,0,0,1,0,0
Astoria,50.0,1.0,1.0,0.02,1.0,0.0,0,0,0,1,0,0,1,0
Canarsie,81.0,2.0,43.0,1.18,1.0,309.0,0,1,0,0,0,1,0,0
Harlem,92.0,5.0,4.0,0.11,2.0,0.0,0,0,1,0,0,1,0,0
West Village,105.0,1.0,14.0,0.36,1.0,0.0,0,0,1,0,0,0,1,0
East Harlem,89.0,4.0,1.0,0.16,1.0,365.0,0,0,1,0,0,0,1,0
Williamsburg,348.0,2.0,1.0,0.03,1.0,0.0,0,1,0,0,0,1,0,0
Crown Heights,168.0,2.0,63.0,1.66,2.0,344.0,0,1,0,0,0,1,0,0
East Village,100.0,2.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Harlem,175.0,4.0,130.0,3.33,1.0,53.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,100.0,4.0,113.0,2.87,2.0,287.0,0,1,0,0,0,1,0,0
Flatbush,119.0,3.0,121.0,3.38,1.0,280.0,0,1,0,0,0,1,0,0
Bedford-Stuyvesant,105.0,4.0,22.0,0.67,1.0,11.0,0,1,0,0,0,1,0,0
Crown Heights,200.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0
SoHo,290.0,2.0,69.0,1.73,1.0,99.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,62.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
Washington Heights,70.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0
Crown Heights,65.0,4.0,1.0,0.03,1.0,0.0,0,1,0,0,0,1,0,0
Tribeca,60.0,25.0,2.0,0.05,1.0,0.0,0,0,1,0,0,0,1,0
Upper West Side,160.0,3.0,2.0,0.05,1.0,0.0,0,0,1,0,0,1,0,0
Kew Gardens,45.0,1.0,17.0,0.72,2.0,365.0,0,0,0,1,0,0,0,1
SoHo,595.0,5.0,51.0,1.29,1.0,347.0,0,0,1,0,0,1,0,0
Crown Heights,60.0,3.0,5.0,0.13,1.0,0.0,0,1,0,0,0,0,1,0
Williamsburg,95.0,2.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
Fort Greene,150.0,4.0,2.0,0.18,3.0,193.0,0,1,0,0,0,0,1,0
Hell's Kitchen,200.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Upper West Side,160.0,2.0,2.0,0.06,1.0,0.0,0,0,1,0,0,0,1,0
West Village,300.0,5.0,88.0,2.32,1.0,121.0,0,0,1,0,0,1,0,0
Flatbush,99.0,1.0,3.0,0.08,1.0,0.0,0,1,0,0,0,1,0,0
Bedford-Stuyvesant,150.0,3.0,0.0,0.0,1.0,334.0,0,1,0,0,0,1,0,0
Ridgewood,35.0,5.0,7.0,0.19,3.0,0.0,0,0,0,1,0,0,1,0
Vinegar Hill,170.0,4.0,2.0,0.05,1.0,0.0,0,1,0,0,0,1,0,0
East Harlem,65.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0
Flatbush,38.0,3.0,27.0,0.95,1.0,84.0,0,1,0,0,0,0,0,1
Williamsburg,60.0,7.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
SoHo,500.0,4.0,72.0,1.8,1.0,330.0,0,0,1,0,0,1,0,0
Park Slope,85.0,2.0,1.0,0.03,2.0,0.0,0,1,0,0,0,0,1,0
Williamsburg,110.0,3.0,4.0,0.1,1.0,0.0,0,1,0,0,0,1,0,0
East Harlem,60.0,8.0,6.0,0.16,1.0,0.0,0,0,1,0,0,0,1,0
Harlem,148.0,6.0,44.0,1.12,1.0,280.0,0,0,1,0,0,1,0,0
East Village,133.0,2.0,72.0,1.82,1.0,0.0,0,0,1,0,0,1,0,0
Hell's Kitchen,160.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
East Village,250.0,3.0,1.0,0.03,1.0,0.0,0,0,1,0,0,1,0,0
Astoria,95.0,1.0,13.0,0.33,2.0,183.0,0,0,0,1,0,0,1,0
East Harlem,69.0,7.0,7.0,0.18,1.0,0.0,0,0,1,0,0,0,1,0
Long Island City,180.0,6.0,1.0,0.03,1.0,0.0,0,0,0,1,0,1,0,0
Harlem,40.0,2.0,16.0,0.4,2.0,0.0,0,0,1,0,0,0,1,0
Flatbush,85.0,1.0,6.0,0.16,1.0,0.0,0,1,0,0,0,0,1,0
Bushwick,65.0,3.0,11.0,0.37,1.0,0.0,0,1,0,0,0,0,1,0
Crown Heights,55.0,1.0,4.0,0.1,1.0,0.0,0,1,0,0,0,0,1,0
East Village,75.0,1.0,4.0,0.1,2.0,0.0,0,0,1,0,0,0,0,1
East Harlem,125.0,3.0,11.0,0.28,1.0,0.0,0,0,1,0,0,1,0,0
Morris Heights,26.0,3.0,21.0,0.64,2.0,127.0,1,0,0,0,0,0,1,0
Williamsburg,175.0,2.0,28.0,0.7,1.0,0.0,0,1,0,0,0,1,0,0
Red Hook,85.0,2.0,66.0,4.58,1.0,59.0,0,1,0,0,0,0,1,0
Clinton Hill,179.0,5.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0
Crown Heights,75.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
Williamsburg,76.0,5.0,1.0,0.03,1.0,0.0,0,1,0,0,0,0,1,0
Chelsea,225.0,30.0,87.0,2.17,1.0,280.0,0,0,1,0,0,1,0,0
Harlem,40.0,1.0,6.0,0.16,1.0,0.0,0,0,1,0,0,0,1,0
Upper East Side,110.0,2.0,22.0,0.55,1.0,0.0,0,0,1,0,0,1,0,0
Upper East Side,117.0,30.0,8.0,0.25,91.0,311.0,0,0,1,0,0,1,0,0
Ditmars Steinway,78.0,1.0,4.0,0.1,1.0,0.0,0,0,0,1,0,1,0,0
Hell's Kitchen,800.0,3.0,59.0,1.51,1.0,263.0,0,0,1,0,0,1,0,0
Greenpoint,65.0,1.0,152.0,3.8,3.0,1.0,0,1,0,0,0,1,0,0
Upper West Side,105.0,1.0,181.0,4.61,1.0,175.0,0,0,1,0,0,1,0,0
Bushwick,45.0,1.0,3.0,0.08,1.0,0.0,0,1,0,0,0,0,1,0
Elmhurst,34.0,1.0,89.0,2.35,8.0,164.0,0,0,0,1,0,0,1,0
Harlem,90.0,3.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,65.0,3.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
Sunnyside,150.0,30.0,7.0,0.18,2.0,338.0,0,0,0,1,0,1,0,0
Hell's Kitchen,160.0,3.0,20.0,0.5,1.0,0.0,0,0,1,0,0,1,0,0
Murray Hill,250.0,30.0,2.0,0.17,96.0,337.0,0,0,1,0,0,1,0,0
Upper East Side,106.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Washington Heights,95.0,30.0,7.0,0.19,34.0,322.0,0,0,1,0,0,1,0,0
Upper East Side,69.0,1.0,4.0,0.1,1.0,0.0,0,0,1,0,0,0,1,0
Bedford-Stuyvesant,145.0,2.0,100.0,2.52,1.0,296.0,0,1,0,0,0,1,0,0
Bedford-Stuyvesant,75.0,5.0,7.0,0.18,1.0,0.0,0,1,0,0,0,1,0,0
East New York,70.0,5.0,37.0,1.48,1.0,263.0,0,1,0,0,0,1,0,0
Greenpoint,225.0,6.0,0.0,0.0,2.0,0.0,0,1,0,0,0,1,0,0
Elmhurst,43.0,2.0,27.0,0.68,1.0,0.0,0,0,0,1,0,0,1,0
Fort Hamilton,121.0,20.0,23.0,0.6,3.0,294.0,0,1,0,0,0,1,0,0
Williamsburg,50.0,1.0,0.0,0.0,4.0,0.0,0,1,0,0,0,0,1,0
East Village,198.0,3.0,31.0,0.8,1.0,57.0,0,0,1,0,0,1,0,0
Crown Heights,109.0,2.0,115.0,2.87,5.0,352.0,0,1,0,0,0,0,1,0
Chelsea,199.0,30.0,1.0,0.03,2.0,292.0,0,0,1,0,0,1,0,0
Riverdale,150.0,2.0,79.0,1.99,1.0,267.0,1,0,0,0,0,1,0,0
Crown Heights,49.0,3.0,5.0,0.13,1.0,0.0,0,1,0,0,0,0,1,0
Midtown,239.0,30.0,0.0,0.0,121.0,351.0,0,0,1,0,0,1,0,0
Park Slope,100.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0
Midtown,239.0,30.0,0.0,0.0,121.0,352.0,0,0,1,0,0,1,0,0
Midtown,239.0,30.0,0.0,0.0,121.0,352.0,0,0,1,0,0,1,0,0
Williamsburg,170.0,3.0,21.0,0.53,1.0,0.0,0,1,0,0,0,1,0,0
Midtown,239.0,30.0,1.0,0.05,121.0,352.0,0,0,1,0,0,1,0,0
Williamsburg,80.0,1.0,1.0,0.03,1.0,0.0,0,1,0,0,0,0,1,0
Midtown,239.0,30.0,0.0,0.0,121.0,351.0,0,0,1,0,0,1,0,0
Midtown,239.0,30.0,0.0,0.0,121.0,352.0,0,0,1,0,0,1,0,0
Hell's Kitchen,239.0,30.0,0.0,0.0,121.0,352.0,0,0,1,0,0,1,0,0
Upper West Side,80.0,1.0,2.0,0.05,1.0,0.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,140.0,2.0,33.0,0.87,1.0,145.0,0,1,0,0,0,1,0,0
Gramercy,240.0,2.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Crown Heights,60.0,5.0,1.0,0.03,1.0,0.0,0,1,0,0,0,0,1,0
Upper West Side,200.0,2.0,128.0,3.31,1.0,231.0,0,0,1,0,0,1,0,0
Two Bridges,159.0,2.0,3.0,0.11,1.0,0.0,0,0,1,0,0,1,0,0
Greenpoint,65.0,1.0,56.0,1.58,3.0,0.0,0,1,0,0,0,1,0,0
Kips Bay,70.0,3.0,2.0,0.05,2.0,0.0,0,0,1,0,0,0,1,0
Midtown,369.0,30.0,0.0,0.0,121.0,345.0,0,0,1,0,0,1,0,0
Upper West Side,120.0,3.0,9.0,0.23,1.0,365.0,0,0,1,0,0,0,1,0
Midtown,239.0,30.0,0.0,0.0,121.0,348.0,0,0,1,0,0,1,0,0
East Village,125.0,1.0,36.0,1.4,1.0,81.0,0,0,1,0,0,0,1,0
Bedford-Stuyvesant,200.0,3.0,6.0,0.15,1.0,0.0,0,1,0,0,0,1,0,0
East Harlem,50.0,29.0,40.0,1.14,2.0,0.0,0,0,1,0,0,0,1,0
Harlem,120.0,150.0,10.0,0.46,1.0,331.0,0,0,1,0,0,1,0,0
Gramercy,100.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,1
Williamsburg,80.0,1.0,2.0,0.05,1.0,0.0,0,1,0,0,0,0,1,0
Lower East Side,140.0,1.0,1.0,0.03,1.0,0.0,0,0,1,0,0,1,0,0
Sunset Park,105.0,2.0,66.0,1.68,2.0,360.0,0,1,0,0,0,1,0,0
Crown Heights,49.0,3.0,3.0,0.08,1.0,365.0,0,1,0,0,0,0,1,0
Carroll Gardens,180.0,4.0,5.0,0.13,3.0,333.0,0,1,0,0,0,1,0,0
East Village,70.0,1.0,3.0,0.08,1.0,0.0,0,0,1,0,0,0,1,0
East Village,450.0,1.0,45.0,1.17,1.0,287.0,0,0,1,0,0,1,0,0
Crown Heights,44.0,2.0,5.0,0.38,1.0,0.0,0,1,0,0,0,0,1,0
South Slope,89.0,1.0,102.0,2.56,1.0,269.0,0,1,0,0,0,0,1,0
Carroll Gardens,172.0,2.0,90.0,2.31,1.0,87.0,0,1,0,0,0,1,0,0
Chelsea,350.0,1.0,2.0,0.05,2.0,0.0,0,0,1,0,0,1,0,0
Harlem,68.0,1.0,49.0,1.23,2.0,365.0,0,0,1,0,0,0,1,0
East Harlem,52.0,32.0,57.0,1.46,2.0,39.0,0,0,1,0,0,0,1,0
Rego Park,70.0,2.0,32.0,0.81,1.0,89.0,0,0,0,1,0,0,1,0
Sea Gate,223.0,1.0,1.0,0.03,3.0,0.0,0,1,0,0,0,1,0,0
Sea Gate,71.0,1.0,0.0,0.0,3.0,0.0,0,1,0,0,0,0,1,0
Sea Gate,97.0,1.0,2.0,0.05,3.0,0.0,0,1,0,0,0,0,1,0
East Harlem,75.0,1.0,5.0,0.13,1.0,0.0,0,0,1,0,0,0,1,0
Hell's Kitchen,65.0,2.0,6.0,0.16,1.0,0.0,0,0,1,0,0,0,1,0
Williamsburg,64.0,1.0,25.0,0.63,1.0,0.0,0,1,0,0,0,0,1,0
Williamsburg,59.0,2.0,138.0,3.63,1.0,268.0,0,1,0,0,0,0,1,0
Crown Heights,100.0,3.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
Bushwick,60.0,2.0,21.0,0.53,1.0,364.0,0,1,0,0,0,0,1,0
Kew Gardens,73.0,9.0,2.0,0.17,4.0,276.0,0,0,0,1,0,0,1,0
Kew Gardens,219.0,9.0,2.0,0.22,4.0,273.0,0,0,0,1,0,1,0,0
Greenwich Village,999.0,3.0,11.0,0.28,1.0,164.0,0,0,1,0,0,1,0,0
Chelsea,150.0,60.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0
Elmhurst,52.0,1.0,108.0,2.71,8.0,174.0,0,0,0,1,0,0,1,0
Crown Heights,90.0,2.0,2.0,0.05,1.0,0.0,0,1,0,0,0,1,0,0
Upper West Side,150.0,2.0,16.0,0.42,1.0,220.0,0,0,1,0,0,1,0,0
Upper West Side,325.0,1.0,43.0,1.12,1.0,223.0,0,0,1,0,0,1,0,0
Washington Heights,170.0,5.0,24.0,1.39,1.0,121.0,0,0,1,0,0,1,0,0
Maspeth,79.0,3.0,64.0,1.6,1.0,311.0,0,0,0,1,0,1,0,0
Clinton Hill,175.0,1.0,17.0,1.51,2.0,179.0,0,1,0,0,0,0,1,0
Upper West Side,75.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0
Crown Heights,120.0,3.0,70.0,1.79,1.0,208.0,0,1,0,0,0,1,0,0
Harlem,72.0,1.0,98.0,2.5,1.0,204.0,0,0,1,0,0,0,1,0
Prospect-Lefferts Gardens,80.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,0,0
Upper East Side,175.0,4.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Harlem,125.0,5.0,15.0,0.38,1.0,0.0,0,0,1,0,0,1,0,0
Theater District,200.0,5.0,4.0,0.1,1.0,365.0,0,0,1,0,0,0,1,0
East Village,1000.0,4.0,19.0,0.51,1.0,349.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,45.0,4.0,1.0,0.03,1.0,0.0,0,1,0,0,0,0,1,0
Chelsea,175.0,7.0,6.0,0.16,1.0,0.0,0,0,1,0,0,1,0,0
Midwood,89.0,2.0,5.0,0.13,1.0,365.0,0,1,0,0,0,0,1,0
Mott Haven,500.0,10.0,0.0,0.0,1.0,358.0,1,0,0,0,0,0,1,0
Washington Heights,84.0,2.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
East Harlem,149.0,5.0,88.0,2.23,1.0,326.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,110.0,3.0,10.0,0.26,1.0,0.0,0,1,0,0,0,1,0,0
Bushwick,40.0,6.0,28.0,0.7,2.0,298.0,0,1,0,0,0,0,1,0
Columbia St,98.0,2.0,14.0,0.36,1.0,0.0,0,1,0,0,0,1,0,0
Upper West Side,160.0,3.0,36.0,0.93,1.0,318.0,0,0,1,0,0,1,0,0
Lower East Side,32.0,14.0,0.0,0.0,28.0,341.0,0,0,1,0,0,0,0,1
Upper West Side,380.0,2.0,6.0,0.16,1.0,0.0,0,0,1,0,0,1,0,0
Crown Heights,35.0,7.0,1.0,0.03,3.0,157.0,0,1,0,0,0,0,1,0
Clinton Hill,100.0,2.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
Midtown,239.0,30.0,0.0,0.0,121.0,352.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,51.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
East Village,200.0,4.0,3.0,0.08,1.0,0.0,0,0,1,0,0,1,0,0
Hell's Kitchen,129.0,30.0,0.0,0.0,121.0,133.0,0,0,1,0,0,1,0,0
Midtown,239.0,30.0,0.0,0.0,121.0,351.0,0,0,1,0,0,1,0,0
Upper East Side,140.0,1.0,4.0,0.1,1.0,0.0,0,0,1,0,0,1,0,0
Hell's Kitchen,239.0,30.0,0.0,0.0,121.0,364.0,0,0,1,0,0,1,0,0
East Village,56.0,1.0,2.0,0.05,1.0,0.0,0,0,1,0,0,0,1,0
Midtown,239.0,30.0,0.0,0.0,121.0,352.0,0,0,1,0,0,1,0,0
Hell's Kitchen,239.0,30.0,1.0,0.06,121.0,352.0,0,0,1,0,0,1,0,0
Midtown,239.0,30.0,0.0,0.0,121.0,352.0,0,0,1,0,0,1,0,0
Prospect Heights,37.0,180.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
Bushwick,91.0,2.0,30.0,0.86,1.0,0.0,0,1,0,0,0,0,1,0
Hell's Kitchen,170.0,5.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Clinton Hill,169.0,12.0,13.0,0.34,3.0,365.0,0,1,0,0,0,1,0,0
Upper East Side,35.0,11.0,9.0,0.24,1.0,0.0,0,0,1,0,0,0,1,0
Crown Heights,180.0,3.0,2.0,0.05,1.0,0.0,0,1,0,0,0,1,0,0
Bedford-Stuyvesant,55.0,4.0,4.0,0.11,1.0,0.0,0,1,0,0,0,0,1,0
Midtown,239.0,30.0,1.0,0.23,121.0,351.0,0,0,1,0,0,1,0,0
Hell's Kitchen,239.0,30.0,0.0,0.0,121.0,352.0,0,0,1,0,0,1,0,0
Chelsea,175.0,1.0,1.0,0.03,2.0,0.0,0,0,1,0,0,0,1,0
Bedford-Stuyvesant,67.0,3.0,88.0,2.22,1.0,0.0,0,1,0,0,0,1,0,0
Hell's Kitchen,239.0,30.0,0.0,0.0,121.0,165.0,0,0,1,0,0,1,0,0
Morningside Heights,65.0,2.0,5.0,0.13,1.0,0.0,0,0,1,0,0,0,1,0
Upper West Side,125.0,30.0,9.0,0.25,91.0,127.0,0,0,1,0,0,1,0,0
Williamsburg,200.0,1.0,16.0,0.41,3.0,239.0,0,1,0,0,0,1,0,0
Sheepshead Bay,81.0,5.0,9.0,0.24,1.0,1.0,0,1,0,0,0,1,0,0
Hell's Kitchen,325.0,3.0,99.0,2.56,2.0,246.0,0,0,1,0,0,1,0,0
Midtown,333.0,1.0,246.0,6.38,1.0,323.0,0,0,1,0,0,1,0,0
Chinatown,90.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0
Hell's Kitchen,245.0,2.0,24.0,0.61,1.0,48.0,0,0,1,0,0,1,0,0
Bushwick,90.0,2.0,6.0,0.15,1.0,358.0,0,1,0,0,0,0,1,0
Midtown,999.0,2.0,54.0,1.49,1.0,58.0,0,0,1,0,0,1,0,0
Astoria,165.0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,0,1,0,0
Upper West Side,400.0,30.0,1.0,0.03,96.0,311.0,0,0,1,0,0,1,0,0
Financial District,160.0,30.0,2.0,0.07,96.0,336.0,0,0,1,0,0,1,0,0
